Ord No (sample number),Poros [% vol],k [W/m/K] (unsaturated),k [W/m/K] (saturated),Vp [m/s] (unsaturated),Vp [m/s] (saturated),Rock,Country,Area (region),Area (location),Stratigraphy (Chronostratigraphy)
633,,2.23,,6090,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
634,,2.24,,5210,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
635,,2.24,,5030,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
636,,2.24,,5160,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
637,,2.24,,5610,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
638,,2.25,,5390,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
639,,2.25,,5820,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
640,,2.25,,4500,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
641,,2.27,,5490,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
642,,2.27,,5540,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
643,,2.28,,5800,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
644,,2.28,,5770,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
645,,2.28,,5320,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
646,,2.29,,5490,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
647,,2.29,,5110,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
648,,2.30,,5850,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
649,,2.30,,5670,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
650,,2.31,,5560,,Limestone,Germany,Franconian Jura,Kindingen,Jurassic (Malm)
651,,2.48,,5110,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
652,,2.49,,5370,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
653,,2.50,,5250,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
654,,2.50,,5550,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
655,,2.51,,5220,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
656,,2.52,,4930,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
657,,2.52,,5440,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
658,,2.53,,5060,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
659,,2.53,,5230,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
660,,2.56,,5400,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
661,,2.56,,4870,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
662,,2.57,,5280,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
663,,2.57,,4850,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
664,,2.58,,5200,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
665,,2.59,,5250,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
666,,2.59,,5310,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
667,,2.59,,5050,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
668,,2.59,,5300,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
669,,2.64,,5290,,Limestone,Germany,Swabian Jura,Blaubeuren,Jurassic (Malm)
670,5.88,2.30,,3220,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
671,4.99,2.36,,4870,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
672,2.76,2.38,,5800,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
673,3.76,2.40,,5140,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
674,2.70,2.43,,3880,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
675,2.95,2.43,,3980,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
676,2.94,2.43,,4130,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
677,3.61,2.45,,5650,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
678,4.84,2.45,,6040,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
679,3.52,2.46,,6080,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
680,2.14,2.47,,5260,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
681,2.27,2.47,,5940,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
682,4.07,2.48,,4800,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
683,2.16,2.48,,5990,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
684,2.31,2.49,,3990,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
685,3.65,2.50,,3780,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
686,2.76,2.51,,5780,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
687,2.54,2.52,,4260,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
688,4.06,2.52,,4970,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
689,3.52,2.53,,3380,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
690,4.09,2.53,,4040,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
691,2.43,2.53,,5240,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
692,6.02,2.53,,4120,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
693,2.67,2.53,,6230,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
694,3.96,2.54,,5690,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
695,3.95,2.55,,4190,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
696,2.12,2.56,,6450,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
697,2.48,2.59,,4250,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
698,2.46,2.59,,3470,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
699,5.76,2.59,,5480,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
700,1.53,2.63,,5400,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
701,2.21,2.63,,4150,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
702,2.60,2.64,,4220,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
703,2.81,2.69,,4090,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
704,1.44,2.69,,5450,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
705,0.90,2.70,,5230,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
706,0.12,2.74,,6140,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
707,0.78,2.77,,4340,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
708,5.33,2.78,,4350,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
709,3.35,2.80,,4300,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
710,1.11,2.83,,5350,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
711,2.58,2.88,,4650,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
712,0.90,2.95,,4260,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
713,2.49,3.00,,5400,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
714,2.25,3.04,,3660,,Limestone,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
715,,1.80,,3370,,Limestone,Germany,,,Jurassic (Malm)
716,,1.88,,4490,,Limestone,Germany,,,Jurassic (Malm)
717,,2.16,,5040,,Limestone,Germany,,,Jurassic (Malm)
718,,2.21,,4710,,Limestone,Germany,,,Jurassic (Malm)
719,,2.31,,4670,,Limestone,Germany,,,Jurassic (Malm)
720,,2.34,,3860,,Limestone,Germany,,,Jurassic (Malm)
721,,2.37,,2600,,Limestone,Germany,,,
722,,2.51,,4340,,Limestone,Germany,,,Jurassic (Malm)
723,,2.52,,4650,,Limestone,Germany,,,Jurassic (Malm)
724,,2.56,,4810,,Limestone,Germany,,,Jurassic (Malm)
725,,2.59,,4870,,Limestone,Germany,,,Jurassic (Malm)
726,,2.72,,5800,,Limestone,Germany,,,Jurassic (Malm)
727,,2.74,,4910,,Limestone,Germany,,,Jurassic (Malm)
728,,2.25,,4100,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
729,2.61,2.31,,5880,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
730,1.62,2.38,,4450,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
731,1.07,2.44,,3940,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
732,1.69,2.45,,4340,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
733,1.80,2.48,,4860,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
734,2.28,2.50,,6150,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
735,2.62,2.51,,5630,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
736,1.47,2.51,,4390,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
737,2.63,2.52,,4740,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
738,0.65,2.52,,4850,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
739,0.69,2.52,,5270,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
740,1.35,2.53,,6640,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
741,1.43,2.54,,4550,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
742,0.75,2.55,,5830,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
743,0.89,2.55,,6910,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
744,1.63,2.56,,7030,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
745,1.42,2.57,,3970,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
746,1.61,2.57,,5780,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
747,1.25,2.58,,6570,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
748,0.52,2.58,,4490,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
749,1.10,2.58,,5370,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
750,1.17,2.59,,3760,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
751,1.99,2.61,,3560,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
752,1.89,2.61,,4430,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
753,1.48,2.61,,4990,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
754,1.69,2.62,,5370,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
755,2.75,2.62,,3060,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
756,1.11,2.63,,4860,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
757,0.88,2.64,,4010,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
758,0.55,2.64,,4600,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
759,1.25,2.64,,4800,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
760,0.81,2.65,,5880,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
761,0.21,2.66,,5000,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
762,0.57,2.70,,4820,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
763,1.83,2.71,,4280,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
764,0.24,2.73,,4960,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
765,0.33,2.75,,3130,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
766,0.13,2.75,,5830,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
767,,2.76,,5770,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
768,,2.78,,5910,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
769,0.31,2.78,,5490,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
770,0.61,2.80,,5110,,Marl,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
771,,2.84,,3020,,Dolomite,Germany,Kellerwald,,Permian (Zechstein)
772,,2.86,,3020,,Dolomite,Germany,Kellerwald,,Permian (Zechstein)
773,3.68,2.45,,6410,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
774,2.88,2.51,,6140,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
775,0.92,2.55,,5520,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
776,2.14,2.60,,4320,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
777,2.92,2.61,,4470,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
778,1.77,2.62,,6670,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
779,2.94,2.62,,5040,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
780,4.30,2.63,,5640,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
781,6.51,2.64,,4140,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
782,1.15,2.65,,6390,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
783,2.18,2.66,,6270,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
784,0.38,2.66,,6380,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
785,3.90,2.68,,5020,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
786,1.57,2.69,,6870,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
787,0.55,2.69,,5890,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
788,0.69,2.70,,5620,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
789,0.28,2.71,,4740,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
790,1.15,2.73,,3660,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
791,4.84,2.74,,4040,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
792,1.05,2.76,,5360,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
793,2.51,2.82,,3730,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
794,4.42,2.83,,4980,,Dolomite,Germany,Swabian Jura,Merklingen,Jurassic (Malm)
795,,2.68,,4850,,Marble,Italy,Piedmont,Prali,
796,,2.73,,4580,,Marble,Italy,Piedmont,Prali,
797,,2.74,,4600,,Marble,Italy,Piedmont,Prali,
798,,2.74,,4770,,Marble,Italy,Piedmont,Prali,
799,,2.74,,5100,,Marble,Italy,Piedmont,Prali,
800,,2.75,,3570,,Marble,Italy,Piedmont,Prali,
801,,2.76,,4990,,Marble,Italy,Piedmont,Prali,
802,,2.79,,3420,,Marble,Italy,Piedmont,Prali,
803,,2.82,,4610,,Marble,Italy,Piedmont,Prali,
804,,2.86,,3280,,Marble,Italy,Piedmont,Prali,
805,,3.20,,6080,,Marble,Italy,Piedmont,Prali,
806,,3.30,,3460,,Marble,Italy,Piedmont,Prali,
807,,3.33,,3260,,Marble,Italy,Piedmont,Prali,
808,,3.44,,3350,,Marble,Italy,Piedmont,Prali,
809,,2.62,,2490,,Marble,,,,
810,,2.72,,2430,,Marble,,,,
811,,2.72,,2460,,Marble,,,,
812,,2.74,,2680,,Marble,,,,
813,,2.74,,2560,,Marble,,,,
814,,2.76,,2710,,Marble,,,,
815,,2.77,,2410,,Marble,,,,
816,,2.77,,2500,,Marble,,,,
817,,2.78,,2700,,Marble,,,,
818,,2.78,,2650,,Marble,,,,
819,,2.80,,2450,,Marble,,,,
820,,2.80,,2440,,Marble,,,,
821,,2.80,,2300,,Marble,,,,
822,,2.80,,2530,,Marble,,,,
823,,2.81,,2450,,Marble,,,,
824,,2.82,,2430,,Marble,,,,
825,,2.82,,2840,,Marble,,,,
826,,2.84,,2390,,Marble,,,,
827,,2.84,,2550,,Marble,,,,
828,,2.85,,2720,,Marble,,,,
829,,2.85,,2620,,Marble,,,,
830,,2.85,,2420,,Marble,,,,
831,,2.89,,2570,,Marble,,,,
832,,2.93,,2600,,Marble,,,,
833,,1.62,,4090,,Coquina,,,,
834,,1.62,,4380,,Coquina,,,,
835,,1.63,,3810,,Coquina,,,,
836,,1.64,,4150,,Coquina,,,,
837,,1.66,,3680,,Coquina,,,,
838,,1.67,,3850,,Coquina,,,,
839,,1.67,,4200,,Coquina,,,,
840,,1.68,,4880,,Coquina,,,,
841,,1.70,,3880,,Coquina,,,,
842,,1.71,,3570,,Coquina,,,,
843,,1.71,,4390,,Coquina,,,,
844,,1.72,,4070,,Coquina,,,,
845,,1.72,,4240,,Coquina,,,,
846,,1.75,,4040,,Coquina,,,,
847,,1.76,,3990,,Coquina,,,,
848,,1.76,,3770,,Coquina,,,,
849,,1.78,,4370,,Coquina,,,,
850,,1.79,,3760,,Coquina,,,,
851,,1.79,,3510,,Coquina,,,,
852,,1.79,,3650,,Coquina,,,,
853,,1.80,,3830,,Coquina,,,,
854,,1.81,,3640,,Coquina,,,,
855,,1.83,,3980,,Coquina,,,,
856,,1.86,,4370,,Coquina,,,,
857,,1.86,,3690,,Coquina,,,,
858,,1.88,,3890,,Coquina,,,,
859,,1.90,,3550,,Coquina,,,,
860,,1.91,,3910,,Coquina,,,,
861,,1.91,,3140,,Coquina,,,,
862,,1.92,,4070,,Coquina,,,,
863,,1.92,,3760,,Coquina,,,,
864,,1.93,,3690,,Coquina,,,,
865,,1.93,,3300,,Coquina,,,,
866,,1.94,,3640,,Coquina,,,,
867,,1.95,,3750,,Coquina,,,,
868,,1.96,,4200,,Coquina,,,,
869,,1.98,,3310,,Coquina,,,,
870,,1.99,,3500,,Coquina,,,,
871,,2.01,,3590,,Coquina,,,,
872,,2.02,,4100,,Coquina,,,,
873,,2.03,,3510,,Coquina,,,,
874,,2.04,,3970,,Coquina,,,,
875,,2.06,,3690,,Coquina,,,,
876,,2.09,,3730,,Coquina,,,,
877,,2.13,,3150,,Coquina,,,,
878,,2.18,,3760,,Coquina,,,,
879,,2.19,,4100,,Coquina,,,,
880,,2.31,,3780,,Coquina,,,,
881,3.23,2.22,,5380,,Gabbro,Germany,Odenwald,Darmstadt,Paleozoic
882,4.55,2.32,,5460,,Gabbro,Germany,Odenwald,Darmstadt,Paleozoic
883,,2.37,,5830,,Gabbro,Germany,Odenwald,Groß-Bieberau,
884,,2.37,,6530,,Gabbro,Germany,Odenwald,Groß-Bieberau,
885,,2.38,,5690,,Gabbro,Germany,Odenwald,Groß-Bieberau,
886,,2.39,,6130,,Gabbro,Germany,Odenwald,Groß-Bieberau,
887,,2.40,,6120,,Gabbro,Germany,Odenwald,Groß-Bieberau,
888,,2.41,,6190,,Gabbro,Germany,Odenwald,Groß-Bieberau,
889,,2.42,,6010,,Gabbro,Germany,Odenwald,Groß-Bieberau,
890,,2.45,,6060,,Gabbro,Germany,Odenwald,Groß-Bieberau,
891,,2.48,,6500,,Gabbro,Germany,Odenwald,Groß-Bieberau,
892,,2.49,,6140,,Gabbro,Germany,Odenwald,Groß-Bieberau,
893,,2.49,,5810,,Gabbro,Germany,Odenwald,Groß-Bieberau,
894,,2.52,,5730,,Gabbro,Germany,Odenwald,Groß-Bieberau,
895,,2.52,,5910,,Gabbro,Germany,Odenwald,Groß-Bieberau,
896,,2.53,,5460,,Gabbro,Germany,Odenwald,Groß-Bieberau,
897,,2.56,,6150,,Gabbro,Germany,Odenwald,Groß-Bieberau,
898,,2.57,,6220,,Gabbro,Germany,Odenwald,Groß-Bieberau,
899,,2.57,,6040,,Gabbro,Germany,Odenwald,Groß-Bieberau,
900,,2.58,,5670,,Gabbro,Germany,Odenwald,Groß-Bieberau,
901,,2.58,,6280,,Gabbro,Germany,Odenwald,Groß-Bieberau,
902,,2.61,,5590,,Gabbro,Germany,Odenwald,Groß-Bieberau,
903,,2.62,,5900,,Gabbro,Germany,Odenwald,Groß-Bieberau,
904,,2.62,,5860,,Gabbro,Germany,Odenwald,Groß-Bieberau,
905,,2.63,,6120,,Gabbro,Germany,Odenwald,Groß-Bieberau,
906,,2.67,,5800,,Gabbro,Germany,Odenwald,Groß-Bieberau,
907,,2.72,,5710,,Gabbro,Germany,Odenwald,Groß-Bieberau,
908,,2.72,,5850,,Gabbro,Germany,Odenwald,Groß-Bieberau,
909,,2.72,,5760,,Gabbro,Germany,Odenwald,Groß-Bieberau,
910,,2.21,,6340,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
911,,2.27,,6600,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
912,,2.29,,5820,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
913,,2.31,,6540,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
914,,2.33,,6560,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
915,,2.33,,6380,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
916,,2.42,,6340,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
917,0.06,2.90,,5470,,Gabbro,Germany,Odenwald,Nieder-Beerbach,Paleozoic
918,,2.04,,6190,,Gabbro,Germany,Odenwald,Waschenbach,
919,,2.07,,5820,,Gabbro,Germany,Odenwald,Waschenbach,
920,,2.09,,6000,,Gabbro,Germany,Odenwald,Waschenbach,
921,,2.09,,6790,,Gabbro,Germany,Odenwald,Waschenbach,
922,,2.11,,6710,,Gabbro,Germany,Odenwald,Waschenbach,
923,,2.12,,5070,,Gabbro,Germany,Odenwald,Waschenbach,
924,,2.12,,7030,,Gabbro,Germany,Odenwald,Waschenbach,
925,,2.14,,7010,,Gabbro,Germany,Odenwald,Waschenbach,
926,,2.15,,6040,,Gabbro,Germany,Odenwald,Waschenbach,
927,,2.15,,6770,,Gabbro,Germany,Odenwald,Waschenbach,
928,,2.17,,6190,,Gabbro,Germany,Odenwald,Waschenbach,
929,,2.18,,7190,,Gabbro,Germany,Odenwald,Waschenbach,
930,,2.19,,5970,,Gabbro,Germany,Odenwald,Waschenbach,
931,,2.20,,6770,,Gabbro,Germany,Odenwald,Waschenbach,
932,,2.20,,6120,,Gabbro,Germany,Odenwald,Waschenbach,
933,,2.21,,6370,,Gabbro,Germany,Odenwald,Waschenbach,
934,,2.21,,6920,,Gabbro,Germany,Odenwald,Waschenbach,
935,,2.22,,6010,,Gabbro,Germany,Odenwald,Waschenbach,
936,,2.25,,6250,,Gabbro,Germany,Odenwald,Waschenbach,
937,,2.26,,7210,,Gabbro,Germany,Odenwald,Waschenbach,
938,,2.27,,6960,,Gabbro,Germany,Odenwald,Waschenbach,
939,,2.30,,6320,,Gabbro,Germany,Odenwald,Waschenbach,
940,,2.32,,6510,,Gabbro,Germany,Odenwald,Waschenbach,
941,,2.34,,6320,,Gabbro,Germany,Odenwald,Waschenbach,
942,,2.35,,6610,,Gabbro,Germany,Odenwald,Waschenbach,
943,,2.40,,6340,,Gabbro,Germany,Odenwald,Waschenbach,
944,,2.40,,7360,,Gabbro,Germany,Odenwald,Waschenbach,
945,,2.41,,6360,,Gabbro,Germany,Odenwald,Waschenbach,
946,,2.43,,6880,,Gabbro,South Africa,Drakensbergen,,
947,,2.45,,6410,,Gabbro,South Africa,Drakensbergen,,
948,,2.48,,6480,,Gabbro,South Africa,Drakensbergen,,
949,,2.49,,7060,,Gabbro,South Africa,Drakensbergen,,
950,,2.55,,5980,,Gabbro,South Africa,Drakensbergen,,
951,,2.56,,6790,,Gabbro,South Africa,Drakensbergen,,
952,,2.58,,7080,,Gabbro,South Africa,Drakensbergen,,
953,,2.60,,6280,,Gabbro,South Africa,Drakensbergen,,
954,,2.60,,6810,,Gabbro,South Africa,Drakensbergen,,
955,,2.61,,6780,,Gabbro,South Africa,Drakensbergen,,
956,,2.61,,5950,,Gabbro,South Africa,Drakensbergen,,
957,,2.62,,6750,,Gabbro,South Africa,Drakensbergen,,
958,,2.62,,6000,,Gabbro,South Africa,Drakensbergen,,
959,,2.63,,5970,,Gabbro,South Africa,Drakensbergen,,
960,,2.63,,6000,,Gabbro,South Africa,Drakensbergen,,
961,,2.64,,6440,,Gabbro,South Africa,Drakensbergen,,
962,,2.65,,6650,,Gabbro,South Africa,Drakensbergen,,
963,,2.66,,5400,,Gabbro,South Africa,Drakensbergen,,
964,,2.69,,6320,,Gabbro,South Africa,Drakensbergen,,
965,,2.38,,6470,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
966,,2.38,,5930,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
967,,2.41,,5410,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
968,,2.42,,6060,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
969,,2.45,,6190,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
970,,2.45,,5290,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
971,,2.49,,5830,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
972,,2.52,,6010,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
973,,2.56,,5830,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
974,,2.57,,5780,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
975,,2.58,,5830,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
976,,2.64,,5600,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
977,,2.65,,5900,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
978,,2.65,,5840,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
979,,2.68,,5770,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
980,,2.73,,5850,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
981,,2.83,,5780,,Gabbrodiorite,Germany,Odenwald,Groß-Bieberau,Paleozoic
982,,1.81,,3300,,Diorite,Germany,Sprendlinger Horst,Darmstadt,Paleozoic
983,,2.31,,6050,,Diorite,Germany,Sprendlinger Horst,Darmstadt,Paleozoic
984,0.42,2.29,,6060,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
985,1.29,2.32,,4940,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
986,1.65,2.35,,5590,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
987,2.30,2.35,,6000,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
988,1.18,2.39,,5920,,Diorite,Germany,Sprendlinger Horst,"Messel, Well GA1",Paleozoic
